"PlotID","resolution","approach","distance"
200,"low","minimalistic",57.9871487670855
202,"low","minimalistic",28.686151510994
203,"low","minimalistic",19.9003154992052
205,"low","minimalistic",11.5503170002451
212,"low","minimalistic",13.4331653684807
213,"low","minimalistic",8.33483155828076
215,"low","minimalistic",17.9806103798967
217,"low","minimalistic",19.676389504608
222,"low","minimalistic",26.1004939485319
228,"low","minimalistic",48.4908036981982
232,"low","minimalistic",17.4047590235941
233,"low","minimalistic",33.1356808930772
236,"low","minimalistic",27.8959156626789
238,"low","minimalistic",9.48222054032587
239,"low","minimalistic",14.6448792824086
200,"low","normal",53.6838347690686
202,"low","normal",30.8979189051911
203,"low","normal",12.773568629018
205,"low","normal",19.3535058657424
212,"low","normal",14.5713888986828
213,"low","normal",14.0292749351606
215,"low","normal",27.3649478013014
217,"low","normal",25.5276137333386
222,"low","normal",24.2411047166432
228,"low","normal",50.4644855465439
232,"low","normal",22.6649905440033
233,"low","normal",40.0152957308099
236,"low","normal",30.3221408137365
238,"low","normal",11.2113985808997
239,"low","normal",21.4880059372532
200,"high","minimalistic",46.5345126547394
202,"high","minimalistic",19.3704607958439
203,"high","minimalistic",8.58657963309628
205,"high","minimalistic",7.67970855469585
212,"high","minimalistic",12.2849018734678
213,"high","minimalistic",14.5441207585229
215,"high","minimalistic",21.6707406757446
217,"high","minimalistic",15.5781389123456
222,"high","minimalistic",9.96277636595798
228,"high","minimalistic",33.2789551181473
232,"high","minimalistic",16.4552361733797
233,"high","minimalistic",33.5340106677842
236,"high","minimalistic",24.792120880345
238,"high","minimalistic",12.8873666915528
239,"high","minimalistic",9.59415391208685
200,"high","normal",44.4345368765978
202,"high","normal",25.0570223395667
203,"high","normal",20.9913640563718
205,"high","normal",16.258197332795
212,"high","normal",16.5529927342586
213,"high","normal",18.6272057711307
215,"high","normal",33.4185399992338
217,"high","normal",23.8778240570742
222,"high","normal",7.96549830917197
228,"high","normal",36.0135073328567
232,"high","normal",20.7641520445165
233,"high","normal",48.8303681662814
236,"high","normal",23.6254531262187
238,"high","normal",27.1020568292184
239,"high","normal",20.1061632984053
